Date,CPFTBTAX Index  (R3),GDP CHWG Index  (R4),GDP CQOQ Index  (L2),CPI YOY Index  (R1),SPX Index  (L3),SPX Index  (R2)
31/12/1990,413.23,9318.9,-3.6,6.1,330.22,
31/03/1991,423.45,9275.3,-1.9,4.9,375.22,15.9311
30/06/1991,425.45,9347.6,3.2,4.7,371.16,16.837
30/09/1991,431.73,9394.8,2,3.4,387.86,19.8989
31/12/1991,436.64,9427.6,1.4,3.1,417.09,22.8434
31/03/1992,459.02,9540.4,4.9,3.2,403.69,24.382
30/06/1992,473.12,9643.9,4.4,3.1,408.14,25.0735
30/09/1992,451.03,9739.2,4,3,417.8,23.7667
31/12/1992,467.07,9840.8,4.2,2.9,435.71,22.1012
31/03/1993,470.68,9857.2,0.7,3.1,451.67,21.4394
30/06/1993,497.4,9914.6,2.3,3,450.53,30.0997
30/09/1993,502.32,9961.9,1.9,2.7,458.93,33.7712
31/12/1993,553.38,10097.4,5.5,2.7,466.45,29.9328
31/03/1994,560.91,10195.3,3.9,2.5,445.77,18.6994
30/06/1994,582.46,10333.5,5.5,2.5,444.27,19.391
30/09/1994,619.93,10393.9,2.4,3,462.69,17.4503
31/12/1994,643.52,10513,4.7,2.7,459.27,16.3508
31/03/1995,662.35,10550.3,1.4,2.9,500.71,16.5912
30/06/1995,682.22,10581.7,1.2,3,544.75,16.473
30/09/1995,696.77,10671.7,3.4,2.5,584.41,16.6227
31/12/1995,699.67,10744.2,2.7,2.5,615.93,17.1253
31/03/1996,726.62,10824.7,3,2.8,645.5,18.7935
30/06/1996,740.32,11005.2,6.8,2.8,670.63,19.2948
30/09/1996,736.36,11103.9,3.6,3,687.31,18.9971
31/12/1996,751.67,11219.2,4.2,3.3,740.74,19.5943
31/03/1997,764.97,11291.7,2.6,2.8,757.12,18.4289
30/06/1997,787.74,11479.3,6.8,2.3,885.14,20.9596
30/09/1997,821.46,11622.9,5.1,2.2,947.28,21.8645
31/12/1997,813.38,11722.7,3.5,1.7,970.43,21.9901
31/03/1998,736.75,11839.9,4.1,1.4,1101.75,23.7671
30/06/1998,731.17,11949.5,3.8,1.7,1133.84,25.0366
30/09/1998,733.22,12099.2,5.1,1.5,1017.01,22.3114
31/12/1998,711.17,12294.7,6.6,1.6,1229.23,27.7313
31/03/1999,749.51,12410.8,3.8,1.7,1286.37,28.7192
30/06/1999,761.4,12514.4,3.4,2,1372.71,29.5127
30/09/1999,764.39,12680,5.4,2.6,1282.71,27.1906
31/12/1999,788.16,12888.3,6.7,2.7,1469.25,29.8725
31/03/2000,770.88,12935.3,1.5,3.8,1498.58,28.6985
30/06/2000,761.52,13170.7,7.5,3.7,1454.6,26.597
30/09/2000,736.09,13183.9,0.4,3.5,1436.51,25.4513
31/12/2000,717.79,13262.2,2.4,3.4,1320.28,21.7109
31/03/2001,717.43,13219.3,-1.3,2.9,1160.33,20.5181
30/06/2001,734.37,13301.4,2.5,3.2,1224.42,22.6514
30/09/2001,668.44,13248.1,-1.6,2.6,1040.94,20.5036
31/12/2001,635.93,13284.9,1.1,1.6,1148.08,26.2448
31/03/2002,685.45,13394.9,3.4,1.5,1147.39,28.3525
30/06/2002,749.82,13477.4,2.5,1.1,989.81,24.2398
30/09/2002,813.95,13531.7,1.6,1.5,815.28,18.6001
31/12/2002,904.97,13549.4,0.5,2.4,879.82,19.8358
31/03/2003,921.47,13619.4,2.1,3,848.18,15.1569
30/06/2003,919.83,13741.1,3.6,2.1,974.5,18.8152
30/09/2003,981.56,13970.2,6.8,2.3,995.97,18.9902
31/12/2003,1057.62,14131.4,4.7,1.9,1111.92,20.4072
31/03/2004,1179.64,14212.3,2.3,1.7,1126.21,20.2991
30/06/2004,1239.29,14323,3.2,3.3,1140.84,19.443
